gas_ppm,temperature,motion,label
321.16,35.32,1,WARNING
66.84,24.37,1,SAFE
545.89,34.56,0,WARNING
146.27,20.58,0,SAFE
965.49,79.72,1,DANGER
269.37,21.24,0,SAFE
77.98,18.02,0,SAFE
510.26,37.53,0,WARNING
276.35,21.92,0,SAFE
635.69,69.82,0,DANGER
558.89,32.81,1,WARNING
284.87,27.83,0,SAFE
79.94,23.65,1,SAFE
374.58,38.68,1,WARNING
832.32,53.26,1,DANGER
101.97,22.09,0,SAFE
54.47,23.72,0,SAFE
60.79,21.28,0,SAFE
761.86,63.86,0,DANGER
781.98,66.87,1,DANGER
114.69,29.56,1,SAFE
197.71,24.22,0,SAFE
206.04,23.83,0,SAFE
371.95,30.67,1,WARNING
278.09,28.4,0,SAFE
871.25,74.45,0,DANGER
761.81,77.29,0,DANGER
149.4,18.79,0,SAFE
242.5,26.6,0,SAFE
244.15,20.7,0,SAFE
214.7,19.31,0,SAFE
512.82,30.37,0,WARNING
145.97,18.76,0,SAFE
658.98,79.25,1,DANGER
59.34,26.85,1,SAFE
185.68,22.34,0,SAFE
421.92,40.51,1,WARNING
215.05,25.38,1,SAFE
205.72,18.86,0,SAFE
209.11,29.77,0,SAFE
134.76,22.41,0,SAFE
139.19,21.3,0,SAFE
244.1,20.45,0,SAFE
248.82,25.18,0,SAFE
529.76,40.91,0,WARNING
494.81,39.3,1,WARNING
988.82,74.99,1,DANGER
95.46,20.35,0,SAFE
831.65,46.15,1,DANGER
359.59,37.78,1,WARNING
285.68,27.87,1,SAFE
559.52,42.27,1,WARNING
274.64,24.07,1,SAFE
975.08,76.71,1,DANGER
86.22,21.16,1,SAFE
900.32,54.07,1,DANGER
198.09,20.1,0,SAFE
81.87,23.85,0,SAFE
948.62,57.94,1,DANGER
185.48,27.17,1,SAFE
81.07,28.47,0,SAFE
206.98,20.21,0,SAFE
94.51,18.96,0,SAFE
224.25,26.85,0,SAFE
243.78,25.22,0,SAFE
267.88,24.23,0,SAFE
223.75,18.91,0,SAFE
143.31,27.6,0,SAFE
534.57,36.69,0,WARNING
145.22,24.72,0,SAFE
432.2,35.4,1,WARNING
747.32,50.94,1,DANGER
931.86,56.23,0,DANGER
521.38,36.69,0,WARNING
128.59,20.72,1,SAFE
202.66,23.36,0,SAFE
326.09,38.31,1,WARNING
741.94,54.92,1,DANGER
389.36,30.82,1,WARNING
656.2,64.24,1,DANGER
405.7,42.49,1,WARNING
538.93,42.32,1,WARNING
54.53,18.07,0,SAFE
385.26,31.57,0,WARNING
442.03,38.14,0,WARNING
121.21,19.07,0,SAFE
677.52,54.12,0,DANGER
188.84,23.77,0,SAFE
637.82,58.55,1,DANGER
811.95,79.16,1,DANGER
228.65,19.46,0,SAFE
249.39,18.09,1,SAFE
658.98,53.05,0,DANGER
122.92,26.16,1,SAFE
444.97,32.76,0,WARNING
123.3,28.63,0,SAFE
784.04,67.48,0,DANGER
355.29,39.64,1,WARNING
211.29,27.48,0,SAFE
300.07,42.66,1,WARNING
545.0,30.53,1,WARNING
215.63,23.8,1,SAFE
189.19,29.26,0,SAFE
354.84,34.84,0,WARNING
107.49,23.69,0,SAFE
181.1,21.54,0,SAFE
364.81,36.64,1,WARNING
239.46,25.22,1,SAFE
190.32,19.25,1,SAFE
393.88,39.74,0,WARNING
736.77,79.14,1,DANGER
277.73,23.4,1,SAFE
936.31,62.8,1,DANGER
480.74,35.12,0,WARNING
138.34,25.88,0,SAFE
329.87,41.83,1,WARNING
143.64,24.23,0,SAFE
259.0,18.99,0,SAFE
244.96,27.68,0,SAFE
